transaction_id,timestamp,sender_account,receiver_account,amount,currency,device_id,ip_address,payment_method
txn_000017,2026-07-02 19:14:40.000794375,ACC_011,ACC_031,35032.0,ZAR,dev_ACC_011,197.153.133.11,bank_transfer
txn_000018,2026-07-02 20:00:00.000000000,FRND_R2,FRND_R1,4442.67,ZAR,dev_FRND_R2,197.161.8.R2,ussd
txn_000019,2026-07-02 20:33:03.994449746,ACC_013,ACC_078,14728.92,ZAR,dev_ACC_013,197.115.119.13,wallet
txn_000020,2026-07-02 21:12:00.000000000,FRND_R3,FRND_R1,4603.98,ZAR,dev_FRND_R3,197.3.32.R3,wallet
txn_000021,2026-07-02 21:55:26.210433695,ACC_073,ACC_047,899.12,NGN,dev_ACC_073,197.114.23.73,ussd
txn_000022,2026-07-02 22:24:00.000000000,FRND_R4,FRND_R1,4620.53,ZAR,dev_FRND_R4,197.37.183.R4,wallet
txn_000023,2026-07-02 22:39:41.151607644,ACC_088,ACC_010,8589.28,NGN,dev_ACC_088,197.223.118.88,wallet
txn_000024,2026-07-02 23:35:59.999999999,FRND_R5,FRND_R1,4373.9,ZAR,dev_FRND_R5,197.154.44.R5,card
txn_000025,2026-07-03 00:00:00.000000000,ACC_070,ACC_HUB_SELLER,8673.98,GHS,dev_ACC_070,197.135.46.70,ussd
txn_000026,2026-07-03 08:48:44.069926493,ACC_057,ACC_001,4490.01,KES,dev_ACC_057,197.131.55.57,wallet
txn_000027,2026-07-03 10:59:46.967598127,ACC_089,ACC_043,6843.62,ZAR,dev_ACC_089,197.196.45.89,wallet
txn_000028,2026-07-03 11:07:43.108394433,ACC_049,ACC_014,2100.58,NGN,dev_ACC_049,197.6.184.49,card
txn_000029,2026-07-03 13:15:17.631429291,ACC_084,ACC_019,55585.04,NGN,dev_ACC_084,197.245.205.84,ussd
txn_000030,2026-07-03 13:19:02.885545601,ACC_078,ACC_036,4210.59,GHS,dev_ACC_078,197.88.227.78,wallet
txn_000031,2026-07-03 13:31:50.171327287,ACC_088,ACC_072,7719.53,NGN,dev_ACC_088,197.143.16.88,bank_transfer
txn_000032,2026-07-03 14:02:48.140191827,ACC_084,ACC_010,3702.22,NGN,dev_ACC_084,197.1.209.84,ussd
txn_000033,2026-07-03 14:43:02.870569211,ACC_039,ACC_073,4087.46,ZAR,dev_ACC_039,197.124.52.39,card
txn_000034,2026-07-03 15:11:59.999999999,ACC_020,SHOP_TRADE_71,61829.93,NGN,dev_ACC_020,197.61.00.20,wallet
txn_000035,2026-07-03 16:37:33.250755572,ACC_013,ACC_031,6617.96,ZAR,dev_ACC_013,197.158.173.13,bank_transfer
txn_000036,2026-07-03 16:49:38.799695772,ACC_066,ACC_034,65008.36,GHS,dev_ACC_066,197.92.150.66,card
txn_000037,2026-07-03 16:51:25.964910706,ACC_072,ACC_087,15757.26,NGN,dev_ACC_072,197.195.123.72,ussd
txn_000038,2026-07-03 20:00:00.000000000,ACC_011,ACC_HUB_SELLER,9109.06,ZAR,dev_ACC_011,197.134.225.11,ussd
txn_000039,2026-07-04 01:28:40.742418774,ACC_014,ACC_087,2135.29,ZAR,dev_ACC_014,197.228.28.14,ussd
txn_000040,2026-07-04 01:40:54.651444798,ACC_040,ACC_085,15844.56,NGN,dev_ACC_040,197.43.47.40,ussd
txn_000041,2026-07-04 04:39:37.877540132,ACC_082,ACC_042,19437.2,NGN,dev_ACC_082,197.21.117.82,bank_transfer
txn_000042,2026-07-04 05:58:41.660427761,ACC_005,ACC_004,3914.23,GHS,dev_ACC_005,197.69.198.05,ussd
txn_000043,2026-07-04 08:15:45.048811297,ACC_016,ACC_064,30169.9,ZAR,dev_ACC_016,197.225.51.16,ussd
txn_000044,2026-07-04 08:21:54.766916742,ACC_055,ACC_012,42587.48,GHS,dev_ACC_055,197.85.153.55,wallet
txn_000045,2026-07-04 08:22:43.672171329,ACC_061,ACC_035,8645.91,ZAR,dev_ACC_061,197.99.151.61,bank_transfer
txn_000046,2026-07-04 09:51:47.180473875,ACC_089,ACC_016,23212.33,ZAR,dev_ACC_089,197.6.145.89,ussd
txn_000047,2026-07-04 10:50:35.858159242,ACC_084,ACC_048,90614.07,NGN,dev_ACC_084,197.121.214.84,ussd
txn_000048,2026-07-04 11:18:42.900837988,ACC_060,ACC_044,6280.84,ZAR,dev_ACC_060,197.82.168.60,ussd
txn_000049,2026-07-04 12:44:34.272692693,ACC_031,ACC_018,63544.86,GHS,dev_ACC_031,197.217.112.31,bank_transfer
txn_000050,2026-07-04 15:51:46.174460637,ACC_018,ACC_075,12708.49,ZAR,dev_ACC_018,197.186.37.18,card
txn_000051,2026-07-04 16:00:00.000000000,ACC_043,ACC_HUB_SELLER,2113.42,KES,dev_ACC_043,197.31.77.43,wallet
txn_000052,2026-07-04 17:36:00.000000000,HH_PARENT_01,HH_TEEN_02,11461.11,NGN,dev_family_tablet,197.210.77.32,card
txn_000053,2026-07-04 18:55:19.881709776,ACC_061,ACC_037,16376.39,ZAR,dev_ACC_061,197.38.72.61,bank_transfer
txn_000054,2026-07-04 20:47:16.500311830,ACC_031,ACC_014,11936.07,GHS,dev_ACC_031,197.133.228.31,bank_transfer
txn_000055,2026-07-04 22:23:19.418884783,ACC_050,ACC_076,16343.02,KES,dev_ACC_050,197.254.220.50,bank_transfer
txn_000056,2026-07-05 03:08:23.031925968,ACC_046,ACC_022,2257.59,NGN,dev_ACC_046,197.23.27.46,card
txn_000057,2026-07-05 06:36:59.402241898,ACC_080,ACC_082,2025.49,KES,dev_ACC_080,197.151.167.80,ussd
txn_000058,2026-07-05 06:58:38.722499363,ACC_000,ACC_054,1334.22,NGN,dev_ACC_000,197.154.81.00,card
txn_000059,2026-07-05 10:23:59.999999999,FRND_R1,FRND_R2,984.02,ZAR,dev_FRND_R1,197.176.108.R1,ussd
txn_000060,2026-07-05 10:23:59.999999999,HH_PARENT_01,ACC_012,9973.86,NGN,dev_family_tablet,197.210.77.32,wallet
txn_000061,2026-07-05 12:00:00.000000000,ACC_076,ACC_HUB_SELLER,5663.74,NGN,dev_ACC_076,197.211.116.76,wallet
txn_000062,2026-07-05 12:12:32.286028914,ACC_037,ACC_088,44469.51,NGN,dev_ACC_037,197.155.123.37,card
txn_000063,2026-07-05 15:52:20.995484277,ACC_047,ACC_043,9624.12,ZAR,dev_ACC_047,197.205.20.47,wallet
txn_000064,2026-07-05 17:04:23.055115852,ACC_021,ACC_017,4464.65,KES,dev_ACC_021,197.85.222.21,card
txn_000065,2026-07-05 23:08:24.279055854,ACC_001,ACC_018,4953.81,KES,dev_ACC_001,197.240.135.01,card
txn_000066,2026-07-05 23:53:44.149026459,ACC_025,ACC_017,28912.51,ZAR,dev_ACC_025,197.84.230.25,ussd
txn_000067,2026-07-06 01:20:04.842990469,ACC_067,ACC_027,5283.7,NGN,dev_ACC_067,197.159.166.67,wallet
txn_000068,2026-07-06 05:00:04.580324336,ACC_079,ACC_019,23217.3,GHS,dev_ACC_079,197.90.211.79,wallet
txn_000069,2026-07-06 05:54:40.979953380,ACC_047,ACC_021,51760.23,ZAR,dev_ACC_047,197.159.55.47,wallet
txn_000070,2026-07-06 06:20:05.808669022,ACC_002,ACC_043,19242.29,NGN,dev_ACC_002,197.124.89.02,bank_transfer
txn_000071,2026-07-06 07:45:49.243986299,ACC_006,ACC_049,6628.37,ZAR,dev_ACC_006,197.211.252.06,ussd
txn_000072,2026-07-06 08:00:00.000000000,ACC_078,ACC_HUB_SELLER,9795.06,GHS,dev_ACC_078,197.243.120.78,ussd
txn_000073,2026-07-06 10:23:59.999999999,ACC_023,SHOP_TRADE_71,36883.32,KES,dev_ACC_023,197.61.01.20,card
txn_000074,2026-07-06 15:46:15.989919005,ACC_078,ACC_025,19481.13,GHS,dev_ACC_078,197.165.30.78,wallet
txn_000075,2026-07-06 19:47:31.391515205,ACC_078,ACC_075,2869.35,GHS,dev_ACC_078,197.72.198.78,ussd
txn_000076,2026-07-06 21:43:52.496560879,ACC_029,ACC_045,9511.41,ZAR,dev_ACC_029,197.194.43.29,card
txn_000077,2026-07-06 22:23:59.999999999,FRND_R2,FRND_R1,1162.25,ZAR,dev_FRND_R2,197.72.82.R2,bank_transfer
txn_000078,2026-07-06 22:51:57.659381407,ACC_000,ACC_078,4243.21,NGN,dev_ACC_000,197.43.184.00,wallet
txn_000079,2026-07-07 00:53:42.116206212,ACC_029,ACC_077,16806.87,ZAR,dev_ACC_029,197.128.70.29,wallet
txn_000080,2026-07-07 02:14:37.565658089,ACC_002,ACC_046,2259.29,NGN,dev_ACC_002,197.70.79.02,wallet
txn_000081,2026-07-07 04:00:00.000000000,ACC_061,ACC_HUB_SELLER,8110.13,ZAR,dev_ACC_061,197.17.75.61,wallet
txn_000082,2026-07-07 06:02:08.512919764,ACC_082,ACC_018,4523.0,NGN,dev_ACC_082,197.78.38.82,bank_transfer
txn_000083,2026-07-07 07:36:34.634879792,ACC_007,ACC_011,5005.61,KES,dev_ACC_007,197.127.9.07,ussd
txn_000084,2026-07-07 10:24:08.812091661,ACC_071,ACC_052,3255.24,KES,dev_ACC_071,197.40.230.71,card
txn_000085,2026-07-07 11:14:58.066598700,ACC_027,ACC_024,2373.5,ZAR,dev_ACC_027,197.122.164.27,card
txn_000086,2026-07-07 12:48:00.000000000,HH_TEEN_02,HH_PARENT_01,8235.83,NGN,dev_family_tablet,197.210.77.32,card
txn_000087,2026-07-07 18:02:45.857458719,ACC_019,ACC_029,6244.57,KES,dev_ACC_019,197.212.208.19,card
txn_000088,2026-07-07 21:32:32.776864568,ACC_062,ACC_004,2958.36,KES,dev_ACC_062,197.244.0.62,card
txn_000089,2026-07-07 22:46:52.480320759,ACC_021,ACC_010,14832.89,KES,dev_ACC_021,197.16.140.21,bank_transfer
txn_000090,2026-07-08 00:00:00.000000000,ACC_003,ACC_HUB_SELLER,32182.98,NGN,dev_ACC_003,197.85.108.03,bank_transfer
txn_000091,2026-07-08 01:27:14.266717519,ACC_089,ACC_081,3092.67,ZAR,dev_ACC_089,197.102.71.89,bank_transfer
txn_000092,2026-07-08 02:29:41.059272569,ACC_010,ACC_031,21136.64,NGN,dev_ACC_010,197.194.230.10,ussd
txn_000093,2026-07-08 02:50:04.372497780,ACC_071,ACC_047,2959.09,KES,dev_ACC_071,197.219.13.71,card
txn_000094,2026-07-08 04:49:32.085550975,ACC_076,ACC_005,9906.17,NGN,dev_ACC_076,197.10.137.76,wallet
txn_000095,2026-07-08 09:45:36.767454017,ACC_003,ACC_053,1490.88,NGN,dev_ACC_003,197.210.44.10,wallet
txn_000096,2026-07-08 11:49:08.110172839,ACC_039,ACC_089,643.52,ZAR,dev_ACC_039,197.125.44.39,ussd
txn_000097,2026-07-08 15:10:46.984768554,ACC_002,ACC_011,4221.99,NGN,dev_ACC_002,197.188.242.02,card
txn_000098,2026-07-08 18:13:21.971653562,ACC_054,ACC_013,29315.16,ZAR,dev_ACC_054,197.16.230.54,card
txn_000099,2026-07-08 19:39:41.084065820,ACC_016,ACC_005,21015.33,ZAR,dev_ACC_016,197.52.181.16,ussd
txn_000100,2026-07-08 20:00:00.000000000,ACC_055,ACC_HUB_SELLER,5549.71,GHS,dev_ACC_055,197.222.103.55,bank_transfer
txn_000101,2026-07-08 21:13:25.720348836,ACC_053,ACC_038,7846.03,KES,dev_ACC_053,197.126.253.53,bank_transfer
txn_000102,2026-07-08 21:38:07.810379930,ACC_048,ACC_035,137235.81,NGN,dev_ACC_048,197.41.240.48,wallet
txn_000103,2026-07-09 04:19:27.738182834,ACC_048,ACC_059,8947.28,NGN,dev_ACC_048,197.254.238.48,wallet
txn_000104,2026-07-09 05:36:00.000000000,ACC_026,SHOP_TRADE_71,56740.03,KES,dev_ACC_026,197.61.02.20,bank_transfer
txn_000105,2026-07-09 09:17:32.435720111,ACC_011,ACC_068,13677.85,ZAR,dev_ACC_011,197.20.37.11,bank_transfer
txn_000106,2026-07-09 11:03:35.378722300,ACC_054,ACC_070,2766.69,ZAR,dev_ACC_054,197.128.118.54,wallet
txn_000107,2026-07-09 11:38:05.557557022,ACC_035,ACC_056,2653.74,NGN,dev_ACC_035,197.163.41.35,bank_transfer
txn_000108,2026-07-09 12:01:02.132629930,ACC_059,ACC_088,4364.48,KES,dev_ACC_059,197.252.224.59,wallet
txn_000109,2026-07-09 15:12:00.000000000,FRND_R1,FRND_R3,867.85,ZAR,dev_FRND_R1,197.224.195.R1,ussd
txn_000110,2026-07-09 15:38:16.400768970,ACC_042,ACC_018,31200.56,NGN,dev_ACC_042,197.74.66.42,card
txn_000111,2026-07-09 16:00:00.000000000,ACC_021,ACC_HUB_SELLER,20757.13,KES,dev_ACC_021,197.34.44.21,ussd
txn_000112,2026-07-09 16:16:21.835770754,ACC_022,ACC_060,8640.01,ZAR,dev_ACC_022,197.223.251.22,wallet
txn_000113,2026-07-09 20:19:34.361741927,ACC_065,ACC_060,29888.53,GHS,dev_ACC_065,197.171.47.65,bank_transfer
txn_000114,2026-07-09 21:08:34.739536414,ACC_031,ACC_070,16051.71,GHS,dev_ACC_031,197.13.154.31,bank_transfer
txn_000115,2026-07-09 23:26:07.873826842,ACC_088,ACC_076,7641.18,NGN,dev_ACC_088,197.144.232.88,wallet
txn_000116,2026-07-10 00:16:10.865909357,ACC_029,ACC_069,1499.37,ZAR,dev_ACC_029,197.163.164.29,bank_transfer
txn_000117,2026-07-10 00:48:00.000000000,FRND_R2,FRND_R3,887.74,ZAR,dev_FRND_R2,197.15.242.R2,bank_transfer
txn_000118,2026-07-10 03:12:00.000000000,HH_TEEN_02,ACC_031,7711.84,NGN,dev_family_tablet,197.210.77.32,ussd
txn_000119,2026-07-10 04:47:24.996819436,ACC_066,ACC_077,8701.62,GHS,dev_ACC_066,197.27.122.66,ussd
txn_000120,2026-07-10 08:31:48.797517023,ACC_023,ACC_068,5815.66,KES,dev_ACC_023,197.73.237.23,wallet
txn_000121,2026-07-10 09:48:44.434601282,ACC_036,ACC_020,6276.86,GHS,dev_ACC_036,197.4.153.36,wallet
txn_000122,2026-07-10 10:24:00.000000000,FRND_R4,FRND_R3,786.71,ZAR,dev_FRND_R4,197.69.200.R4,card
txn_000123,2026-07-10 10:58:10.814956956,ACC_064,ACC_007,29664.45,GHS,dev_ACC_064,197.82.165.64,bank_transfer
txn_000124,2026-07-10 12:00:00.000000000,ACC_077,ACC_HUB_SELLER,14060.2,GHS,dev_ACC_077,197.141.234.77,wallet
txn_000125,2026-07-10 15:44:24.358715524,ACC_080,ACC_077,56739.68,KES,dev_ACC_080,197.7.208.80,wallet
txn_000126,2026-07-10 20:00:00.000000000,FRND_R5,FRND_R3,936.05,ZAR,dev_FRND_R5,197.73.152.R5,card
txn_000127,2026-07-10 20:27:16.305750181,ACC_059,ACC_085,9257.54,KES,dev_ACC_059,197.226.218.59,ussd
txn_000128,2026-07-10 21:00:05.608337732,ACC_040,ACC_050,33903.88,NGN,dev_ACC_040,197.139.119.40,wallet
txn_000129,2026-07-10 21:36:53.357172279,ACC_060,ACC_012,5514.84,ZAR,dev_ACC_060,197.153.22.60,wallet
txn_000130,2026-07-10 21:45:48.377556983,ACC_040,ACC_044,4640.97,NGN,dev_ACC_040,197.238.62.40,card
txn_000131,2026-07-10 22:24:43.829679704,ACC_084,MERCH_TICKETS_88,6676.31,NGN,dev_ACC_084,197.44.0.00,bank_transfer
txn_000132,2026-07-10 22:26:39.451308667,ACC_075,MERCH_TICKETS_88,3493.81,GHS,dev_ACC_075,197.44.0.01,card
txn_000133,2026-07-10 22:28:23.079758324,ACC_064,MERCH_TICKETS_88,6177.54,GHS,dev_ACC_064,197.44.0.02,bank_transfer
txn_000134,2026-07-10 22:30:57.815612260,ACC_017,MERCH_TICKETS_88,4633.09,NGN,dev_ACC_017,197.44.0.03,card
txn_000135,2026-07-10 22:32:08.002309861,ACC_063,MERCH_TICKETS_88,5834.07,GHS,dev_ACC_063,197.44.0.04,ussd
txn_000136,2026-07-10 22:34:53.186211324,ACC_000,MERCH_TICKETS_88,6836.91,NGN,dev_ACC_000,197.44.0.05,card
txn_000137,2026-07-10 22:36:32.868358281,ACC_067,MERCH_TICKETS_88,8448.6,NGN,dev_ACC_067,197.44.0.06,card
txn_000138,2026-07-10 22:38:56.130724647,ACC_006,MERCH_TICKETS_88,7569.56,ZAR,dev_ACC_006,197.44.0.07,bank_transfer
txn_000139,2026-07-10 22:40:37.450055352,ACC_070,MERCH_TICKETS_88,4145.96,GHS,dev_ACC_070,197.44.0.08,card
txn_000140,2026-07-10 22:42:55.271505865,ACC_055,MERCH_TICKETS_88,7400.3,GHS,dev_ACC_055,197.44.0.09,bank_transfer
txn_000141,2026-07-10 22:44:39.005183268,ACC_074,MERCH_TICKETS_88,9374.95,KES,dev_ACC_074,197.44.0.10,bank_transfer
txn_000142,2026-07-10 22:46:41.658718423,ACC_061,MERCH_TICKETS_88,6176.09,ZAR,dev_ACC_061,197.44.0.11,card
txn_000143,2026-07-10 22:48:45.646501489,ACC_065,MERCH_TICKETS_88,7559.36,GHS,dev_ACC_065,197.44.0.12,ussd
txn_000144,2026-07-10 22:50:56.560419053,ACC_022,MERCH_TICKETS_88,6704.8,ZAR,dev_ACC_022,197.44.0.13,ussd
txn_000145,2026-07-10 22:52:53.631960082,ACC_088,MERCH_TICKETS_88,7317.43,NGN,dev_ACC_088,197.44.0.14,card
txn_000146,2026-07-10 23:55:13.836782477,ACC_054,ACC_087,2815.03,ZAR,dev_ACC_054,197.75.33.54,bank_transfer
txn_000147,2026-07-11 00:01:10.003477106,ACC_026,ACC_055,31919.0,KES,dev_ACC_026,197.226.226.26,bank_transfer
txn_000148,2026-07-11 00:16:27.505734583,ACC_084,ACC_050,10349.21,NGN,dev_ACC_084,197.80.223.84,ussd
txn_000149,2026-07-11 00:27:46.467737158,ACC_008,ACC_068,27260.76,ZAR,dev_ACC_008,197.145.172.08,bank_transfer
txn_000150,2026-07-11 00:59:35.528860534,ACC_065,ACC_041,4055.5,GHS,dev_ACC_065,197.127.3.65,card
txn_000151,2026-07-11 02:08:00.669081987,ACC_035,ACC_079,14129.61,NGN,dev_ACC_035,197.150.232.35,ussd
txn_000152,2026-07-11 03:41:38.112712975,ACC_017,ACC_059,3598.25,NGN,dev_ACC_017,197.232.167.17,card
txn_000153,2026-07-11 04:34:02.006645118,ACC_079,ACC_088,6565.92,GHS,dev_ACC_079,197.194.162.79,ussd
txn_000154,2026-07-11 05:19:48.786186602,ACC_049,ACC_030,7064.76,NGN,dev_ACC_049,197.5.133.49,card
txn_000155,2026-07-11 06:05:33.178987988,ACC_064,ACC_059,860.76,GHS,dev_ACC_064,197.234.131.64,bank_transfer
txn_000156,2026-07-11 06:29:33.026556567,ACC_072,ACC_038,7721.92,NGN,dev_ACC_072,197.56.213.72,card
txn_000157,2026-07-11 08:00:00.000000000,ACC_080,ACC_HUB_SELLER,30118.61,KES,dev_ACC_080,197.214.57.80,ussd
txn_000158,2026-07-11 09:13:49.158699391,ACC_038,ACC_072,121906.73,ZAR,dev_ACC_038,197.232.252.38,bank_transfer
txn_000159,2026-07-11 10:00:47.777266207,ACC_028,ACC_034,7153.08,GHS,dev_ACC_028,197.207.84.28,ussd
txn_000160,2026-07-11 12:47:59.999999999,ACC_029,SHOP_TRADE_71,87533.81,ZAR,dev_ACC_029,197.61.03.20,card
txn_000161,2026-07-11 16:03:02.311581397,ACC_082,ACC_009,6032.35,NGN,dev_ACC_082,197.93.66.82,ussd
txn_000162,2026-07-11 16:48:26.098556467,ACC_086,ACC_069,2550.08,GHS,dev_ACC_086,197.153.217.86,card
txn_000163,2026-07-11 18:30:20.660236067,ACC_076,ACC_049,13475.07,NGN,dev_ACC_076,197.234.88.76,card
txn_000164,2026-07-11 21:34:00.628316526,ACC_082,ACC_062,6144.95,NGN,dev_ACC_082,197.71.250.82,bank_transfer
txn_000165,2026-07-11 23:11:51.333430600,ACC_030,ACC_024,10963.82,ZAR,dev_ACC_030,197.203.40.30,card
txn_000166,2026-07-12 02:14:42.596422328,ACC_030,ACC_046,357544.28,ZAR,dev_ACC_030,197.203.141.30,bank_transfer
txn_000167,2026-07-12 04:00:00.000000000,ACC_089,ACC_HUB_SELLER,4579.01,ZAR,dev_ACC_089,197.51.54.89,wallet
txn_000168,2026-07-12 06:00:23.511505367,ACC_005,ACC_031,9103.39,GHS,dev_ACC_005,197.144.198.05,ussd
txn_000169,2026-07-12 07:05:49.103702272,ACC_016,ACC_049,39242.36,ZAR,dev_ACC_016,197.88.241.16,wallet
txn_000170,2026-07-12 07:21:35.642297839,ACC_013,ACC_055,3167.88,ZAR,dev_ACC_013,197.206.187.13,wallet
txn_000171,2026-07-12 09:09:25.242988339,ACC_072,ACC_038,14719.03,NGN,dev_ACC_072,197.252.100.72,bank_transfer
txn_000172,2026-07-12 13:53:08.104697616,ACC_005,ACC_041,17869.65,GHS,dev_ACC_005,197.74.125.05,ussd
txn_000173,2026-07-12 17:04:44.605143593,ACC_059,ACC_086,16613.17,KES,dev_ACC_059,197.117.126.59,ussd
txn_000174,2026-07-12 17:31:14.766333149,ACC_058,ACC_013,2338.43,NGN,dev_ACC_058,197.168.225.58,card
txn_000175,2026-07-12 17:36:00.000000000,MERCH_TICKETS_88,ACC_007,18780.4,GHS,dev_MERCH_TICKETS_88,197.44.9.88,card
txn_000176,2026-07-12 19:33:32.961304258,ACC_013,ACC_040,5672.29,ZAR,dev_ACC_013,197.68.73.13,wallet
txn_000177,2026-07-12 19:44:42.797560298,ACC_005,ACC_001,3253.31,GHS,dev_ACC_005,197.76.91.05,wallet
txn_000178,2026-07-13 00:00:00.000000000,ACC_006,ACC_HUB_SELLER,5321.53,ZAR,dev_ACC_006,197.242.19.06,bank_transfer
txn_000179,2026-07-13 04:03:48.125021117,ACC_073,ACC_086,17710.23,NGN,dev_ACC_073,197.176.74.73,card
txn_000180,2026-07-13 04:57:56.914882931,ACC_026,ACC_085,13847.75,KES,dev_ACC_026,197.153.234.26,card
txn_000181,2026-07-13 06:43:16.752338156,ACC_017,ACC_008,4893.28,NGN,dev_ACC_017,197.242.129.17,wallet
txn_000182,2026-07-13 06:46:23.284864156,ACC_040,ACC_002,42487.1,NGN,dev_ACC_040,197.39.153.40,bank_transfer
txn_000183,2026-07-13 06:53:43.816439918,ACC_039,ACC_029,1740.64,ZAR,dev_ACC_039,197.142.35.39,card
txn_000184,2026-07-13 08:00:00.000000000,RNG_A_00,RNG_A_01,720029.15,NGN,dev_shared_a1,197.243.183.00,card
txn_000185,2026-07-13 08:28:48.000000000,RNG_A_01,RNG_A_02,748562.93,NGN,dev_shared_a1,197.92.150.01,wallet
txn_000186,2026-07-13 08:33:53.019646744,ACC_000,ACC_023,40513.69,NGN,dev_ACC_000,197.72.15.00,wallet
txn_000187,2026-07-13 08:57:35.999999999,RNG_A_02,RNG_A_00,731405.81,NGN,dev_shared_a1,197.132.93.02,card
txn_000188,2026-07-13 09:38:23.048390544,ACC_080,ACC_064,19427.72,KES,dev_ACC_080,197.78.142.80,wallet
txn_000189,2026-07-13 10:23:59.999999999,REF_C0,REF_C1,6629.82,GHS,dev_REF_C0,197.168.156.C0,bank_transfer
txn_000190,2026-07-13 13:47:30.501815492,ACC_023,ACC_055,6523.67,KES,dev_ACC_023,197.13.45.23,card
txn_000191,2026-07-13 15:12:00.000000000,HH_PARENT_01,HH_TEEN_03,12000.0,NGN,dev_family_tablet,197.210.77.32,wallet
txn_000192,2026-07-13 17:36:00.000000000,RNG_A_02,RNG_A_03,686009.71,NGN,dev_shared_a1,197.114.157.02,ussd
txn_000193,2026-07-13 18:01:47.002139794,ACC_060,ACC_040,28070.14,ZAR,dev_ACC_060,197.113.74.60,wallet
txn_000194,2026-07-13 18:04:48.000000000,RNG_A_03,RNG_A_04,710698.89,NGN,dev_shared_a1,197.169.190.03,card
txn_000195,2026-07-13 18:33:36.000000000,RNG_A_04,RNG_A_02,701862.34,NGN,dev_shared_a1,197.237.60.04,ussd
txn_000196,2026-07-13 19:30:45.173477795,ACC_029,ACC_052,4646.3,ZAR,dev_ACC_029,197.48.160.29,ussd
txn_000197,2026-07-13 19:42:17.103315409,ACC_070,ACC_083,6474.62,GHS,dev_ACC_070,197.163.138.70,wallet
txn_000198,2026-07-13 19:45:13.449828384,ACC_006,ACC_044,17884.12,ZAR,dev_ACC_006,197.76.153.06,ussd
txn_000199,2026-07-13 20:00:00.000000000,ACC_012,ACC_HUB_SELLER,8821.84,NGN,dev_ACC_012,197.205.19.12,ussd
txn_000200,2026-07-13 20:39:22.366655010,ACC_033,ACC_070,56920.57,NGN,dev_ACC_033,197.78.100.33,card
txn_000201,2026-07-13 21:26:08.862883501,ACC_059,ACC_036,23291.01,KES,dev_ACC_059,197.82.102.59,bank_transfer
txn_000202,2026-07-13 22:30:11.998068719,ACC_069,ACC_059,6631.67,KES,dev_ACC_069,197.10.194.69,ussd
txn_000203,2026-07-14 00:02:02.176719927,RNG_A_06,RNG_A_08,376601.21,NGN,dev_shared_a1,197.152.148.06,ussd
txn_000204,2026-07-14 03:08:37.565224437,RNG_A_06,RNG_A_00,211317.6,NGN,dev_shared_a2,197.7.164.06,bank_transfer
txn_000205,2026-07-14 03:12:00.000000000,RNG_A_04,RNG_A_05,413206.88,NGN,dev_shared_a1,197.36.241.04,bank_transfer
txn_000206,2026-07-14 03:40:48.000000000,RNG_A_05,RNG_A_06,409777.16,NGN,dev_shared_a1,197.195.152.05,ussd
