account_id,created_at,country,currency,kyc_level
ACC_059,2024-11-29 06:34:12.907921200,Kenya,KES,basic
ACC_060,2024-04-04 14:49:48.462355376,South Africa,ZAR,basic
ACC_061,2025-03-11 00:25:12.786227968,South Africa,ZAR,verified
ACC_062,2025-04-05 00:32:42.927855920,Kenya,KES,verified
ACC_063,2024-03-09 10:27:45.564032128,Ghana,GHS,basic
ACC_064,2024-07-18 17:08:47.114912648,Ghana,GHS,basic
ACC_065,2026-03-11 06:28:38.529298198,Ghana,GHS,basic
ACC_066,2025-05-28 19:40:42.064838588,Ghana,GHS,verified
ACC_067,2026-04-15 04:54:20.198132208,Nigeria,NGN,basic
ACC_068,2025-06-16 01:16:03.466936660,South Africa,ZAR,basic
ACC_069,2025-10-28 00:03:20.691879968,Kenya,KES,verified
ACC_070,2025-05-07 00:56:56.836479144,Ghana,GHS,basic
ACC_071,2025-10-01 23:58:38.565675420,Kenya,KES,basic
ACC_072,2025-05-11 19:25:48.155821748,Nigeria,NGN,basic
ACC_073,2024-11-10 23:12:52.607919088,Nigeria,NGN,basic
ACC_074,2024-03-17 09:27:26.621245072,Kenya,KES,basic
ACC_075,2025-06-12 18:04:28.091828588,Ghana,GHS,basic
ACC_076,2024-05-10 02:05:59.181536760,Nigeria,NGN,basic
ACC_077,2025-07-06 15:02:28.592743172,Ghana,GHS,basic
ACC_078,2024-03-17 06:18:09.446692032,Ghana,GHS,basic
ACC_079,2025-05-29 07:36:13.293091440,Ghana,GHS,basic
ACC_080,2025-12-18 02:55:57.113226250,Kenya,KES,basic
ACC_081,2025-01-13 10:42:55.899923656,Nigeria,NGN,verified
ACC_082,2025-09-01 11:55:53.659228992,Nigeria,NGN,verified
ACC_083,2025-04-12 12:39:20.745955584,Kenya,KES,basic
ACC_084,2024-02-16 10:56:11.398666112,Nigeria,NGN,basic
ACC_085,2026-04-02 17:16:28.463321337,Nigeria,NGN,verified
ACC_086,2024-05-12 13:12:54.226309312,Ghana,GHS,basic
ACC_087,2024-03-04 03:28:22.308443792,Kenya,KES,verified
ACC_088,2024-12-31 02:26:24.267198296,Nigeria,NGN,basic
ACC_089,2024-11-06 10:02:53.972929424,South Africa,ZAR,basic
ACC_HUB_SELLER,2024-10-19 08:00:00.000000000,Nigeria,NGN,basic
ATO_MULE_0,2026-06-28 09:57:48.454027505,South Africa,ZAR,verified
ATO_MULE_1,2026-06-28 10:29:28.564397024,South Africa,ZAR,basic
ATO_MULE_2,2026-06-28 10:32:26.628878896,South Africa,ZAR,basic
ATO_MULE_3,2026-06-27 08:55:40.096310183,South Africa,ZAR,verified
ATO_MULE_4,2026-06-28 00:38:17.145057690,South Africa,ZAR,basic
ATO_MULE_5,2026-06-28 12:38:05.626929611,South Africa,ZAR,basic
ATO_VICTIM,2022-08-31 08:00:00.000000000,South Africa,ZAR,basic
RNG_A_00,2026-06-27 18:45:17.502617755,Nigeria,NGN,basic
RNG_A_01,2026-06-26 15:13:21.118001968,Nigeria,NGN,verified
RNG_A_02,2026-06-28 02:54:17.687914302,Nigeria,NGN,basic
RNG_A_03,2026-06-27 06:59:08.109499591,Nigeria,NGN,verified
RNG_A_04,2026-06-29 06:10:01.993725600,Nigeria,NGN,basic
RNG_A_05,2026-06-26 08:10:56.009389306,Nigeria,NGN,basic
RNG_A_06,2026-06-26 14:42:08.522994428,Nigeria,NGN,basic
RNG_A_07,2026-06-28 04:02:39.140475386,Nigeria,NGN,basic
RNG_A_08,2026-06-27 14:01:20.256334458,Nigeria,NGN,verified
RNG_A_09,2026-06-26 21:14:48.989487097,Nigeria,NGN,basic
SMR_COLLECTOR,2026-06-29 13:59:26.747633615,Kenya,KES,verified
SMR_EXIT_0,2026-06-29 02:06:20.544168848,Kenya,KES,verified
SMR_EXIT_1,2026-06-30 01:24:58.143229090,Kenya,KES,basic
SMR_F00,2026-06-29 19:43:19.630745710,Kenya,KES,verified
SMR_F01,2026-06-29 02:05:22.310480507,Kenya,KES,verified
SMR_F02,2026-06-28 08:15:19.255624060,Kenya,KES,verified
SMR_F03,2026-06-30 02:48:37.995803532,Kenya,KES,basic
SMR_F04,2026-06-30 05:41:04.982241476,Kenya,KES,basic
SMR_F05,2026-06-29 11:59:41.182336975,Kenya,KES,basic
SMR_F06,2026-06-30 02:04:02.773114366,Kenya,KES,basic
SMR_F07,2026-06-29 09:13:44.312736967,Kenya,KES,basic
SMR_F08,2026-06-29 22:08:10.478574268,Kenya,KES,verified
SMR_F09,2026-06-29 01:44:42.200419845,Kenya,KES,basic
SMR_F10,2026-06-29 11:47:53.412329439,Kenya,KES,basic
SMR_F11,2026-06-29 00:12:02.943494399,Kenya,KES,basic
